selected,doi,gsid,type,title,journal,author,date,score,times_cited
,10.1038/s44284-024-00115-8,bzZYiBgAAAAJ:3s1wT3WcHBgC,journal-article,Health co-benefits of post-COVID-19 low-carbon recovery in Chinese cities,Nature Cities,"Chenxi Lu, Yingjian Huang, Ying Yu, Jiawei Hu, Huibin Mo, Yun Li, Da Huo, Xuanren Song, Xiaoting Huang, Yun Sun, Kai Liu, Shaohui Zhang, Karyn Morrissey, Jinpyo Hong, Zhu Deng, Zhuanjia Du, Felix Creutzig, Zhu Liu",2024/8/28,3.7,0
,10.1016/j.jclepro.2024.143206,bzZYiBgAAAAJ:ZHo1McVdvXMC,journal-article,Peak patterns and drivers of city-level daily CO2 emissions in China,Journal of Cleaner Production,"Yingjian Huang, Jinpei Ou, Zhu Deng, Wenwen Zhou, Yuchen Liang, Xiaolei Huang",2024/7/20,,
1,10.5194/essd-2024-103,bzZYiBgAAAAJ:SeFeTyx0c_EC,posted-content,Global Greenhouse Gas Reconciliation 2022,[],"Zhu Deng_, Philippe Ciais, Liting Hu, Adrien Martinez, Marielle Saunois, Rona L Thompson, Kushal Tibrewal, Wouter Peters, Brendan Byrne, Giacomo Grassi, Paul I Palmer, Ingrid T Luijkx, Zhu Liu, Junjie Liu, Xuekun Fang, Tengjiao Wang, Hanqin Tian, Katsumasa Tanaka, Ana Bastos, Stephen Sitch, Benjamin Poulter, Cl¨¦ment Albergel, Aki Tsuruta, Shamil Maksyutov, Rajesh Janardanan, Yosuke Niwa, Bo Zheng, Jo_l Thanwerdas, Dmitry Belikov, Arjo Segers, Fr¨¦d¨¦ric Chevallier",2024/7/5,17.55,0
,10.1029/2023gl107536,bzZYiBgAAAAJ:ldfaerwXgEUC,journal-article,Improved Consistency of Satellite XCO2 Retrievals Based on Machine Learning,Geophysical Research Letters,"Xiaoting Huang, Zhu Deng, Fei Jiang, Minqiang Zhou, Xiaojuan Lin, Zhu Liu, Muyan Peng",2024/4/13,0.25,0
,10.5194/gmd-17-2663-2024,bzZYiBgAAAAJ:2P1L_qKh6hAC,journal-article,Carbon Monitor Power-Simulators (CMP-SIM v1.0) across countries: a data-driven approach to simulate daily power generation,Geoscientific Model Development,"L¨¦na Gurriaran, Yannig Goude, Katsumasa Tanaka, Biqing Zhu, Zhu Deng, Xuanren Song, Philippe Ciais",2024/4/11,1,0
1,10.1038/s43017-024-00532-2,bzZYiBgAAAAJ:70eg2SAEIzsC,journal-article,Global carbon emissions in 2023,Nature Reviews Earth & Environment,"Zhu Liu, Zhu Deng, Steven J. Davis, Philippe Ciais",2024/4/4,404.3,25
,10.1609/aaaiss.v2i1.27656,bzZYiBgAAAAJ:RYcK_YlVTxYC,journal-article,AutoPCF: A Novel Automatic Product Carbon Footprint Estimation Framework Based on Large Language Models,Proceedings of the AAAI Symposium Series,"Biao Luo, Jinjie Liu, Zhu Deng, Can Yuan, Qingrun Yang, Lei Xiao, Yucong Xie, Fanke Zhou, Wenwen Zhou, Zhu Liu",2024/1/23,,
,10.1038/s43247-023-01190-w,bzZYiBgAAAAJ:J_g5lzvAfSwC,journal-article,"Assessment of methane emissions from oil, gas and coal sectors across inventories and atmospheric inversions",Communications Earth & Environment,"Kushal Tibrewal, Philippe Ciais, Marielle Saunois, Adrien Martinez, Xin Lin, Joel Thanwerdas, Zhu Deng, Frederic Chevallier, Cl¨¦ment Giron, Cl¨¦ment Albergel, Katsumasa Tanaka, Prabir Patra, Aki Tsuruta, Bo Zheng, Dmitry Belikov, Yosuke Niwa, Rajesh Janardanan, Shamil Maksyutov, Arjo Segers, Zitely A Tzompa-Sosa, Philppe Bousquet, Jean Sciare",2024/1/9,51.95,6
,10.1038/s41561-023-01274-4,bzZYiBgAAAAJ:YFjsv_pBGBYC,journal-article,Global increase in biomass carbon stock dominated by growth of northern young forests over past decade,Nature Geoscience,"Hui Yang, Philippe Ciais, Fr¨¦d¨¦ric Frappart, Xiaojun Li, Martin Brandt, Rasmus Fensholt, Lei Fan, Sassan Saatchi, Simon Besnard, Zhu Deng, Simon Bowring, Jean-Pierre Wigneron",2023/10/2,283.58,49
,10.5194/acp-23-6599-2023,bzZYiBgAAAAJ:9ZlFYXVOiuMC,journal-article,Monitoring and quantifying CO2 emissions of isolated power plants from space,Atmospheric Chemistry and Physics,"Xiaojuan Lin, Ronald Van Der A, Jos De Laat, Henk Eskes, Fr¨¦d¨¦ric Chevallier, Philippe Ciais, Zhu Deng, Yuanhao Geng, Xuanren Song, Xiliang Ni, Da Huo, Xinyu Dou, Zhu Liu",2023/6/15,0.25,13
,10.1038/s41597-023-02284-y,bzZYiBgAAAAJ:Wp0gIr-vW9MC,journal-article,Carbon Monitor Europe near-real-time daily CO2 emissions for 27 EU countries and the United Kingdom,Scientific Data,"Piyu Ke, Zhu Deng, Biqing Zhu, Bo Zheng, Yilong Wang, Olivier Boucher, Simon Ben Arous, Chuanlong Zhou, Robbie M Andrew, Xinyu Dou, Taochun Sun, Xuanren Song, Zhao Li, Feifan Yan, Duo Cui, Yifan Hu, Da Huo, Jean-Pierre Chang, Richard Engelen, Steven J Davis, Philippe Ciais, Zhu Liu",2023/6/8,12.8,12
,10.1038/s41597-023-02094-2,bzZYiBgAAAAJ:4DMP91E08xMC,journal-article,CarbonMonitor-Power near-real-time monitoring of global power generation on hourly to daily scales,Scientific Data,"Biqing Zhu_, Zhu Deng_, Xuanren Song_, Wenli Zhao, Da Huo, Taochun Sun, Piyu Ke, Duo Cui, Chenxi Lu, Haiwang Zhong, Chaopeng Hong, Jian Qiu, Steven J Davis, Pierre Gentine, Philippe Ciais, Zhu Liu",2023/4/17,1.75,7
1,10.1038/s43017-023-00406-z,bzZYiBgAAAAJ:aqlVkmm33-oC,journal-article,Monitoring global carbon emissions in 2022,Nature Reviews Earth & Environment,"Zhu Liu, Zhu Deng, Steve Davis, Philippe Ciais",2023/3/13,377.98,169
